,스마트 서울 도시데이터 센서(S-DoT) 유동인구 측정 위치 정보,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
0,,,,,,,,작성일 : 21. 6. 14.,
1,순번,시리얼번호,사이트명,자치구,주소,구분,높이,위도,경도
86,85,V02Q1940888,3011,광진구,서울특별시 광진구 중곡동 265-5,유동인구,4.3,37.563073533,127.081994745
87,86,V02Q1940889,3022,도봉구,서울특별시 도봉구 창동 585-13,유동인구,3.7,37.63994636,127.0360107
88,87,V02Q1940941,3033,송파구,서울특별시 송파구 잠실동 205-17,유동인구,4.1,37.509088133,127.084056858
89,88,V02Q1940942,3037,양천구,서울특별시 양천구 신월동 805,유동인구,5.2,37.532462634,126.833076323
90,89,V02Q1940943,3039,양천구,서울특별시 양천구 목동 616-15,유동인구,4.3,37.548507166,126.864648122
91,90,V02Q1940944,3004,중랑구,서울특별시 중랑구 묵동 249-24,유동인구,3.9,37.60504164,127.075432599
92,91,V02Q1940945,3030,마포구,서울특별시 마포구 망원동 403-6,유동인구,3.2,37.555243706,126.906902824
93,92,V02Q1940946,3036,양천구,서울특별시 양천구 신월동 796,유동인구,3.9,37.534443996,126.834790407
94,93,V02Q1940947,3014,동작구,서울특별시 동작구 상도동 518-7,유동인구,3.8,37.499025801,126.952012252
95,94,V02Q1940948,3027,금천구,서울특별시 금천구 독산4동 371-2,유동인구,1,37.47007655,126.907222998
96,95,V02Q1940949,3018,강북구,서울특별시 강북구 수유동 55-7,유동인구,3.3,37.630375704,127.022627851
97,96,V02Q1940950,3006,노원구,서울특별시 노원구 공릉동 552-4,유동인구,3.6,37.622809925,127.074963276
98,97,V02Q1940951,3038,양천구,서울특별시 양천구 신월동 802,유동인구,4,37.531246089,126.836128493
99,98,V02Q1940952,3016,동작구,서울특별시 동작구 사당동 708-646,유동인구,4,37.488708568,126.978633256
100,99,V02Q1940953,3001,강남구,서울특별시 강남구 개포동 186-19,유동인구,4.4,37.489030413,127.067883398
101,100,V02Q1940954,3000,강남구,서울특별시 강남구 논현동 280,유동인구,3.7,37.508670997,127.022791432
