"지구별","주차장명","주차대수","이용시간","날짜"
"PLT-008","여의도4주차장","1426","377690","2021/10"
"PLT-008","여의도3주차장","11830","2516907","2021/10"
"PLT-004","이촌2주차장","5267","387215","2021/10"
"PLT-009","반포1주차장","2674","191517","2021/10"
"PLT-008","여의도1주차장","9000","868657","2021/10"
"PLT-004","이촌34주차장","3213","264822","2021/10"
"PLT-011","잠실1234주차장","8246","623149","2021/10"
"PLT-005","뚝섬2주차장","12627","1365305","2021/10"
"PLT-007","양화1주차장","4252","427946","2021/10"
"PLT-007","양화2주차장","1094","89658","2021/10"
"PLT-008","여의도1주차장","27696","2890415","2021/10"
"PLT-008","여의도2주차장","6983","682278","2021/10"
"PLT-003","망원1주차장","2191","158212","2021/10"
"PLT-007","양화1주차장","4578","465287","2021/10"
"PLT-005","뚝섬1주차장","3569","317688","2021/10"
"PLT-002","난지123주차장","10261","837897","2021/10"
"PLT-009","반포23주차장","23149","1655564","2021/10"
"PLT-007","양화345주차장","8071","714466","2021/10"
"PLT-003","망원1주차장","997","73063","2021/10"
"PLT-008","여의도2주차장","3521","397957","2021/10"
"PLT-008","여의도5주차장","656","157145","2021/10"
"PLT-005","뚝섬4주차장","1649","160397","2021/10"
"PLT-001","강서1주차장","739","53383","2021/10"
"PLT-005","뚝섬2주차장","11904","1281305","2021/10"
"PLT-004","이촌2주차장","4914","360918","2021/10"
"PLT-003","망원1주차장","2711","204005","2021/10"
"PLT-010","잠원1-6주차장","51403","4504303","2021/10"
"PLT-006","광나루12주차장","5537","427514","2021/10"
"PLT-006","광나루12주차장","11046","811654","2021/10"
"PLT-003","망원23주차장","12193","1186695","2021/10"
"PLT-001","강서1주차장","2485","168546","2021/10"
"PLT-005","뚝섬1주차장","1989","185471","2021/10"
"PLT-008","여의도2주차장","8863","1037526","2021/10"
"PLT-006","광나루12주차장","12601","927995","2021/10"
"PLT-005","뚝섬2주차장","5251","562227","2021/10"
"PLT-004","이촌2주차장","2097","167168","2021/10"
"PLT-008","여의도2주차장","1387","209921","2021/10"
"PLT-007","양화345주차장","16766","1431882","2021/10"
"PLT-003","망원23주차장","13763","1343018","2021/10"
"PLT-009","반포23주차장","47841","3406666","2021/10"
"PLT-006","광나루3주차장","9712","590462","2021/10"
"PLT-002","난지123주차장","32312","2126861","2021/10"
"PLT-005","뚝섬4주차장","6023","558320","2021/10"
"PLT-003","망원23주차장","5858","580428","2021/10"
"PLT-001","강서1주차장","263","17128","2021/10"
"PLT-009","반포23주차장","42434","3010574","2021/10"
"PLT-010","잠원1-6주차장","48505","4255086","2021/10"
"PLT-010","잠원1-6주차장","42386","3678628","2021/10"
"PLT-008","여의도4주차장","1988","530915","2021/10"
"PLT-001","강서1주차장","3957","278217","2021/10"
"PLT-004","이촌34주차장","7396","608471","2021/10"
"PLT-005","뚝섬4주차장","9452","849804","2021/10"
"PLT-008","여의도5주차장","3572","878651","2021/10"
"PLT-007","양화345주차장","6686","599275","2021/10"
"PLT-011","잠실1234주차장","19260","1477401","2021/10"
"PLT-011","잠실1234주차장","43171","3063135","2021/10"
"PLT-004","이촌34주차장","15303","1223998","2021/10"
"PLT-004","이촌2주차장","3902","283252","2021/10"
"PLT-005","뚝섬2주차장","9277","1002323","2021/10"
"PLT-007","양화1주차장","3019","306858","2021/10"
"PLT-007","양화345주차장","2964","259419","2021/10"
"PLT-008","여의도4주차장","306","74633","2021/10"
"PLT-008","여의도3주차장","2947","546240","2021/10"
"PLT-007","양화2주차장","753","65140","2021/10"
"PLT-008","여의도1주차장","43211","4227618","2021/10"
"PLT-009","반포1주차장","13019","871435","2021/10"
"PLT-008","여의도5주차장","2729","703033","2021/10"
"PLT-009","반포23주차장","20852","1498501","2021/10"
"PLT-007","양화2주차장","88","7190","2021/10"
"PLT-008","여의도5주차장","1884","453808","2021/10"
"PLT-007","양화2주차장","625","54826","2021/10"
"PLT-005","뚝섬4주차장","4731","449138","2021/10"
"PLT-008","여의도2주차장","16725","1918195","2021/10"
"PLT-011","잠실1234주차장","50539","3449963","2021/10"
"PLT-004","이촌1주차장","954","62522","2021/10"
"PLT-009","반포1주차장","14576","978831","2021/10"
"PLT-008","여의도2주차장","10940","1379649","2021/10"
"PLT-008","여의도3주차장","5870","876077","2021/10"
"PLT-001","강서1주차장","2036","144146","2021/10"
"PLT-008","여의도2주차장","19210","2316832","2021/10"
"PLT-003","망원1주차장","5819","444950","2021/10"
"PLT-007","양화345주차장","1024","81240","2021/10"
"PLT-003","망원1주차장","5166","388342","2021/10"
"PLT-003","망원1주차장","4882","363780","2021/10"
"PLT-008","여의도2주차장","15674","1724696","2021/10"
"PLT-002","난지123주차장","28387","1907577","2021/10"
"PLT-002","난지123주차장","11917","920469","2021/10"
"PLT-001","강서1주차장","5051","354058","2021/10"
"PLT-008","여의도3주차장","8158","1677256","2021/10"
"PLT-008","여의도5주차장","3126","749483","2021/10"
"PLT-005","뚝섬4주차장","8833","793235","2021/10"
"PLT-008","여의도4주차장","931","236691","2021/10"
"PLT-008","여의도4주차장","1336","369784","2021/10"
"PLT-008","여의도3주차장","10240","2374088","2021/10"
"PLT-007","양화345주차장","7393","657498","2021/10"
"PLT-009","반포23주차장","2814","169343","2021/10"
"PLT-011","잠실1234주차장","36295","2583240","2021/10"
"PLT-004","이촌34주차장","13082","1022601","2021/10"
"PLT-008","여의도1주차장","36907","3588584","2021/10"
"PLT-001","강서1주차장","3687","260360","2021/10"
"PLT-002","난지123주차장","21599","1440962","2021/10"
"PLT-009","반포1주차장","4833","358632","2021/10"
"PLT-003","망원1주차장","3309","255387","2021/10"
"PLT-009","반포1주차장","11090","742291","2021/10"
"PLT-007","양화2주차장","442","39009","2021/10"
"PLT-008","여의도4주차장","220","68101","2021/10"
"PLT-008","여의도1주차장","15576","1423462","2021/10"
"PLT-004","이촌34주차장","5632","464958","2021/10"
"PLT-007","양화2주차장","1215","98188","2021/10"
"PLT-005","뚝섬2주차장","6312","697209","2021/10"
"PLT-007","양화1주차장","2035","202052","2021/10"
"PLT-011","잠실1234주차장","54130","3653047","2021/10"
"PLT-005","뚝섬1주차장","3355","302366","2021/10"
"PLT-010","잠원1-6주차장","22234","1961016","2021/10"
"PLT-007","양화345주차장","5069","472648","2021/10"
"PLT-008","여의도4주차장","383","81399","2021/10"
"PLT-004","이촌34주차장","18301","1464769","2021/10"
"PLT-005","뚝섬3주차장","6573","560745","2021/10"
"PLT-008","여의도3주차장","5259","818026","2021/10"
"PLT-006","광나루3주차장","10557","634018","2021/10"
"PLT-008","여의도3주차장","1265","368182","2021/10"
"PLT-008","여의도1주차장","51885","5300861","2021/10"
"PLT-004","이촌1주차장","1337","89140","2021/10"
"PLT-007","양화2주차장","958","78802","2021/10"
"PLT-008","여의도5주차장","400","120813","2021/10"
"PLT-001","강서1주차장","2936","206093","2021/10"
"PLT-005","뚝섬1주차장","2855","263227","2021/10"
"PLT-005","뚝섬3주차장","5174","442240","2021/10"
"PLT-006","광나루3주차장","8182","502968","2021/10"
"PLT-004","이촌1주차장","1028","67187","2021/10"
"PLT-004","이촌1주차장","266","15291","2021/10"
"PLT-006","광나루3주차장","1736","106401","2021/10"
"PLT-005","뚝섬3주차장","1387","130852","2021/10"
"PLT-005","뚝섬1주차장","691","68195","2021/10"
"PLT-003","망원1주차장","3014","227749","2021/10"
"PLT-007","양화2주차장","1166","94839","2021/10"
"PLT-007","양화1주차장","3265","323067","2021/10"
"PLT-008","여의도4주차장","469","92679","2021/10"
"PLT-009","반포1주차장","15334","1006821","2021/10"
"PLT-007","양화345주차장","5989","541521","2021/10"
"PLT-005","뚝섬2주차장","9987","1059483","2021/10"
