"기관 명","송신 서버 번호","데이터 번호","모델명","시리얼","서버타입","사이트명","방문자수","날짜","등록일자"
"서울시","32","1","SDOT001","4041","00Original","0000004041","0","202104250000","2021-04-26 00:00:13"
"서울시","32","1","SDOT001","4038","00Original","0000004038","0","202104250000","2021-04-26 00:00:58"
"서울시","32","1","SDOT001","3000","00Original","0000003000","165","202104252340","2021-04-26 00:00:59"
"서울시","32","1","SDOT001","3005","00Original","0000003005","168","202104252340","2021-04-26 00:01:09"
"서울시","32","1","SDOT001","2994","00Original","0000002994","179","202104252340","2021-04-26 00:01:15"
"서울시","32","1","SDOT001","2996","00Original","0000002996","129","202104252340","2021-04-26 00:01:20"
"서울시","32","1","SDOT001","4012","00Original","0000004012","1","202104250000","2021-04-26 00:01:20"
"서울시","32","1","SDOT001","2997","00Original","0000002997","136","202104252340","2021-04-26 00:01:22"
"서울시","32","1","SDOT001","2999","00Original","0000002999","147","202104252340","2021-04-26 00:01:25"
"서울시","32","1","SDOT001","3000","00Original","0000003000","165","202104252340","2021-04-26 00:01:29"
"서울시","32","1","SDOT001","3002","00Original","0000003002","149","202104252340","2021-04-26 00:01:33"
"서울시","32","1","SDOT001","3005","00Original","0000003005","168","202104252340","2021-04-26 00:01:41"
"서울시","32","1","SDOT001","3018","00Original","0000003018","120","202104252340","2021-04-26 00:02:11"
"서울시","32","1","SDOT001","3019","00Original","0000003019","168","202104252340","2021-04-26 00:02:12"
"서울시","32","1","SDOT001","4005","00Original","0000004005","6","202104250000","2021-04-26 00:02:30"
"서울시","32","1","SDOT001","3026","00Original","0000003026","103","202104252340","2021-04-26 00:02:30"
"서울시","32","1","SDOT001","3027","00Original","0000003027","147","202104252340","2021-04-26 00:02:34"
"서울시","32","1","SDOT001","3031","00Original","0000003031","155","202104252340","2021-04-26 00:02:42"
"서울시","32","1","SDOT001","3038","00Original","0000003038","146","202104252340","2021-04-26 00:02:56"
"서울시","32","1","SDOT001","4003","00Original","0000004003","17","202104250000","2021-04-26 00:02:58"
"서울시","32","1","SDOT001","4039","00Original","0000004039","0","202104260010","2021-04-26 00:11:15"
"서울시","32","1","SDOT001","4049","00Original","0000004049","3","202104260010","2021-04-26 00:12:22"
"서울시","32","1","SDOT001","4005","00Original","0000004005","11","202104260010","2021-04-26 00:12:28"
"서울시","32","1","SDOT001","4003","00Original","0000004003","8","202104260010","2021-04-26 00:12:59"
"서울시","32","1","SDOT001","2998","00Original","0000002998","184","202104252350","2021-04-26 00:13:19"
"서울시","32","1","SDOT001","3000","00Original","0000003000","185","202104252350","2021-04-26 00:13:26"
"서울시","32","1","SDOT001","3001","00Original","0000003001","143","202104252350","2021-04-26 00:13:26"
"서울시","32","1","SDOT001","3002","00Original","0000003002","161","202104252350","2021-04-26 00:13:27"
"서울시","32","1","SDOT001","3003","00Original","0000003003","180","202104252350","2021-04-26 00:13:28"
"서울시","32","1","SDOT001","3004","00Original","0000003004","200","202104252350","2021-04-26 00:13:32"
"서울시","32","1","SDOT001","3022","00Original","0000003022","155","202104252350","2021-04-26 00:14:26"
"서울시","32","1","SDOT001","3024","00Original","0000003024","241","202104252350","2021-04-26 00:14:37"
"서울시","32","1","SDOT001","3027","00Original","0000003027","149","202104252350","2021-04-26 00:14:38"
"서울시","32","1","SDOT001","3035","00Original","0000003035","168","202104252350","2021-04-26 00:14:55"
"서울시","32","1","SDOT001","3037","00Original","0000003037","78","202104252350","2021-04-26 00:15:00"
"서울시","32","1","SDOT001","3038","00Original","0000003038","155","202104252350","2021-04-26 00:15:02"
"서울시","32","1","SDOT001","3039","00Original","0000003039","163","202104252350","2021-04-26 00:15:06"
"서울시","32","1","SDOT001","4016","00Original","0000004016","16","202104260010","2021-04-26 00:15:55"
"서울시","32","1","SDOT001","4035","00Original","0000004035","17","202104260010","2021-04-26 00:16:02"
"서울시","32","1","SDOT001","4002","00Original","0000004002","9","202104260010","2021-04-26 00:16:24"
"서울시","32","1","SDOT001","4030","00Original","0000004030","3","202104260010","2021-04-26 00:17:24"
"서울시","32","1","SDOT001","4025","00Original","0000004025","2","202104260010","2021-04-26 00:17:54"
"서울시","32","1","SDOT001","4027","00Original","0000004027","10","202104260020","2021-04-26 00:20:06"
"서울시","32","1","SDOT001","4033","00Original","0000004033","4","202104260020","2021-04-26 00:20:09"
"서울시","32","1","SDOT001","4015","00Original","0000004015","1","202104260020","2021-04-26 00:20:18"
"서울시","32","1","SDOT001","4031","00Original","0000004031","0","202104260020","2021-04-26 00:20:24"
"서울시","32","1","SDOT001","4038","00Original","0000004038","0","202104260020","2021-04-26 00:20:56"
"서울시","32","1","SDOT001","4049","00Original","0000004049","1","202104260020","2021-04-26 00:22:22"
"서울시","32","1","SDOT001","4005","00Original","0000004005","6","202104260020","2021-04-26 00:22:28"
"서울시","32","1","SDOT001","4022","00Original","0000004022","11","202104260020","2021-04-26 00:23:51"
"서울시","32","1","SDOT001","4024","00Original","0000004024","1","202104260020","2021-04-26 00:24:42"
"서울시","32","1","SDOT001","2992","00Original","0000002992","165","202104260000","2021-04-26 00:25:20"
"서울시","32","1","SDOT001","3004","00Original","0000003004","168","202104260000","2021-04-26 00:25:42"
"서울시","32","1","SDOT001","3019","00Original","0000003019","158","202104260000","2021-04-26 00:26:14"
"서울시","32","1","SDOT001","4002","00Original","0000004002","7","202104260020","2021-04-26 00:26:23"
"서울시","32","1","SDOT001","3023","00Original","0000003023","193","202104260000","2021-04-26 00:26:24"
"서울시","32","1","SDOT001","3033","00Original","0000003033","135","202104260000","2021-04-26 00:26:47"
"서울시","32","1","SDOT001","3035","00Original","0000003035","178","202104260000","2021-04-26 00:26:52"
"서울시","32","1","SDOT001","4023","00Original","0000004023","0","202104260030","2021-04-26 00:30:32"
"서울시","32","1","SDOT001","4017","00Original","0000004017","1","202104260030","2021-04-26 00:30:33"
"서울시","32","1","SDOT001","4031","00Original","0000004031","1","202104260030","2021-04-26 00:30:35"
"서울시","32","1","SDOT001","4044","00Original","0000004044","0","202104260030","2021-04-26 00:32:46"
"서울시","32","1","SDOT001","4024","00Original","0000004024","8","202104260030","2021-04-26 00:34:36"
"서울시","32","1","SDOT001","4016","00Original","0000004016","12","202104260030","2021-04-26 00:35:58"
"서울시","32","1","SDOT001","4035","00Original","0000004035","8","202104260030","2021-04-26 00:36:04"
"서울시","32","1","SDOT001","4014","00Original","0000004014","48","202104260030","2021-04-26 00:36:05"
"서울시","32","1","SDOT001","2996","00Original","0000002996","127","202104260010","2021-04-26 00:37:17"
"서울시","32","1","SDOT001","3002","00Original","0000003002","150","202104260010","2021-04-26 00:37:53"
"서울시","32","1","SDOT001","4025","00Original","0000004025","2","202104260030","2021-04-26 00:37:54"
"서울시","32","1","SDOT001","3022","00Original","0000003022","149","202104260010","2021-04-26 00:38:19"
"서울시","32","1","SDOT001","4015","00Original","0000004015","13","202104260040","2021-04-26 00:40:17"
"서울시","32","1","SDOT001","4031","00Original","0000004031","1","202104260040","2021-04-26 00:40:22"
"서울시","32","1","SDOT001","4046","00Original","0000004046","4","202104260040","2021-04-26 00:40:27"
"서울시","32","1","SDOT001","4017","00Original","0000004017","1","202104260040","2021-04-26 00:40:39"
"서울시","32","1","SDOT001","4026","00Original","0000004026","3","202104260040","2021-04-26 00:42:37"
"서울시","32","1","SDOT001","4003","00Original","0000004003","15","202104260040","2021-04-26 00:42:56"
"서울시","32","1","SDOT001","4024","00Original","0000004024","1","202104260040","2021-04-26 00:44:37"
